Request id,Pickup point,Drop Point,Driver id,Status,Request Date,Request Time,Request Time of Day,Request Day,Drop Date,Drop Time,Drop Day
619,Airport,City,1,Trip Completed,11-07-2016,11:51:00,Morning,Monday,11-07-2016,13:00:00,Monday
867,Airport,City,1,Trip Completed,11-07-2016,17:57:00,Evening,Monday,11-07-2016,18:47:00,Monday
1807,City,Aiport,1,Trip Completed,12-07-2016,09:17:00,Morning,Tuesday,12-07-2016,09:58:00,Tuesday
2532,Airport,City,1,Trip Completed,12-07-2016,21:08:00,Night,Tuesday,12-07-2016,22:03:00,Tuesday
3112,City,Aiport,1,Trip Completed,13-07-2016,08:33:00,Morning,Wednesday,13-07-2016,09:25:00,Wednesday
3879,Airport,City,1,Trip Completed,13-07-2016,21:57:00,Night,Wednesday,13-07-2016,22:28:00,Wednesday
4270,Airport,City,1,Trip Completed,14-07-2016,06:15:00,Morning,Thursday,14-07-2016,07:13:00,Thursday
5510,Airport,City,1,Trip Completed,15-07-2016,05:11:00,Early Morning,Friday,15-07-2016,06:07:00,Friday
6248,City,Aiport,1,Trip Completed,15-07-2016,17:57:00,Evening,Friday,15-07-2016,18:50:00,Friday
267,City,Aiport,2,Trip Completed,11-07-2016,06:46:00,Morning,Monday,11-07-2016,07:25:00,Monday
1467,Airport,City,2,Trip Completed,12-07-2016,05:08:00,Early Morning,Tuesday,12-07-2016,06:02:00,Tuesday
1983,City,Aiport,2,Trip Completed,12-07-2016,12:30:00,Afternoon,Tuesday,12-07-2016,12:57:00,Tuesday
2784,Airport,City,2,Trip Completed,13-07-2016,04:49:00,Early Morning,Wednesday,13-07-2016,05:23:00,Wednesday
3075,City,Aiport,2,Trip Completed,13-07-2016,08:02:00,Morning,Wednesday,13-07-2016,09:16:00,Wednesday
3379,City,Aiport,2,Trip Completed,13-07-2016,14:23:00,Afternoon,Wednesday,13-07-2016,15:35:00,Wednesday
3482,Airport,City,2,Trip Completed,13-07-2016,17:23:00,Evening,Wednesday,13-07-2016,18:20:00,Wednesday
4652,City,Aiport,2,Trip Completed,14-07-2016,12:01:00,Afternoon,Thursday,14-07-2016,12:36:00,Thursday
5335,Airport,City,2,Trip Completed,14-07-2016,22:24:00,Night,Thursday,14-07-2016,23:18:00,Thursday
